.region_id,ecometric,year,value,time_period
25025140202,Guns,2017,2.91,2017-01-01
25025140202,Guns,2018,2.76,2018-01-01
25025140202,Guns,2019,2.06,2019-01-01
25025140102,Guns,2010,0.45,2010-01-01
25025140102,Guns,2011,1.34,2011-01-01
25025140102,Guns,2012,0.63,2012-01-01
25025140102,Guns,2013,1.49,2013-01-01
25025140102,Guns,2014,0.99,2014-01-01
25025140102,Guns,2015,2.09,2015-01-01
25025140102,Guns,2016,2.28,2016-01-01
25025140102,Guns,2017,2.28,2017-01-01
25025140102,Guns,2018,3.23,2018-01-01
25025140102,Guns,2019,1.98,2019-01-01
25025130402,Guns,2010,0.22,2010-01-01
25025130402,Guns,2011,0,2011-01-01
25025130402,Guns,2012,0.39,2012-01-01
25025130402,Guns,2013,0.61,2013-01-01
25025130402,Guns,2014,1.39,2014-01-01
25025130402,Guns,2015,1.38,2015-01-01
25025130402,Guns,2016,1.18,2016-01-01
25025130402,Guns,2017,0.79,2017-01-01
25025130402,Guns,2018,0.98,2018-01-01
25025130402,Guns,2019,0.61,2019-01-01
25025130300,Guns,2010,0.23,2010-01-01
25025130300,Guns,2011,0.43,2011-01-01
25025130300,Guns,2012,0,2012-01-01
25025130300,Guns,2013,0.43,2013-01-01
25025130300,Guns,2014,0.44,2014-01-01
25025130300,Guns,2015,1.07,2015-01-01
25025130300,Guns,2016,0,2016-01-01
25025130300,Guns,2017,0.64,2017-01-01
25025130300,Guns,2018,0.43,2018-01-01
25025130300,Guns,2019,0.44,2019-01-01
25025130200,Guns,2010,0,2010-01-01
25025130200,Guns,2011,0.6,2011-01-01
25025130200,Guns,2012,0.4,2012-01-01
25025130200,Guns,2013,0.6,2013-01-01
25025130200,Guns,2014,0.8,2014-01-01
25025130200,Guns,2015,0.57,2015-01-01
25025130200,Guns,2016,0.38,2016-01-01
25025130200,Guns,2017,0.38,2017-01-01
25025130200,Guns,2018,1.14,2018-01-01
25025130200,Guns,2019,0.57,2019-01-01
25025130100,Guns,2010,0.17,2010-01-01
25025130100,Guns,2011,0.5,2011-01-01
25025130100,Guns,2012,1.32,2012-01-01
25025130100,Guns,2013,0.46,2013-01-01
25025130100,Guns,2014,0,2014-01-01
25025130100,Guns,2015,0.9,2015-01-01
25025130100,Guns,2016,0.6,2016-01-01
25025130100,Guns,2017,0.3,2017-01-01
25025130100,Guns,2018,0.3,2018-01-01
25025130100,Guns,2019,0.3,2019-01-01
25025120700,Guns,2010,0.47,2010-01-01
25025120700,Guns,2011,1.56,2011-01-01
25025120700,Guns,2012,3.43,2012-01-01
25025120700,Guns,2013,2.32,2013-01-01
25025120700,Guns,2014,2.27,2014-01-01
25025120700,Guns,2015,3.49,2015-01-01
25025120700,Guns,2016,1.31,2016-01-01
25025120700,Guns,2017,2.18,2017-01-01
25025120700,Guns,2018,2.62,2018-01-01
25025120700,Guns,2019,1.29,2019-01-01
25025120600,Guns,2010,0,2010-01-01
25025120600,Guns,2011,3.05,2011-01-01
25025120600,Guns,2012,0,2012-01-01
25025120600,Guns,2013,3.1,2013-01-01
25025120600,Guns,2014,2.91,2014-01-01
25025120600,Guns,2015,2.16,2015-01-01
25025120600,Guns,2016,1.73,2016-01-01
25025120600,Guns,2017,0.43,2017-01-01
25025120600,Guns,2018,2.59,2018-01-01
25025120600,Guns,2019,2.04,2019-01-01
25025120500,Guns,2010,0,2010-01-01
25025120500,Guns,2011,2.5,2011-01-01
25025120500,Guns,2012,2.11,2012-01-01
25025120500,Guns,2013,4.03,2013-01-01
25025120500,Guns,2014,4.88,2014-01-01
25025120500,Guns,2015,2.98,2015-01-01
25025120500,Guns,2016,5.21,2016-01-01
25025120500,Guns,2017,2.23,2017-01-01
25025120500,Guns,2018,4.1,2018-01-01
25025120500,Guns,2019,4.61,2019-01-01
